Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=DC
20010,DC,0.075,,5-12-2010,
20010,DC,0.075,,5-12-2010,
20010,DC,0.26,22480.0,5-12-2010,
20024,DC,0.9,9856.0,6-3-2010,
20024,DC,0.9,9856.0,6-3-2010,
20019,DC,1.0,9821.0,10-11-2012,
20001,DC,1.0,10421.0,10/17/2012,
20019,DC,1.0,9821.0,10-11-2012,
20001,DC,1.0,10421.0,10/17/2012,
20003,DC,1.05,11184.0,09/30/2009,
20003,DC,1.05,11184.0,09/30/2009,
20015,DC,1.075,7995.17,10/17/2012,
20015,DC,1.075,7995.17,10/17/2012,
20011,DC,1.15,5175.0,09/20/2012,
20011,DC,1.15,5175.0,09/20/2012,
20016,DC,1.17,13775.0,11/23/2010,
20016,DC,1.17,13775.0,11/23/2010,
20015,DC,1.17,21986.0,10-8-2011,
20010,DC,1.29,11900.0,10-11-2012,
20010,DC,1.29,11900.0,10-11-2012,
20015,DC,1.38,10880.0,6-4-2012,
20001,DC,1.38,10320.0,09/25/2012,
20015,DC,1.38,10880.0,6-4-2012,
20001,DC,1.38,10320.0,09/25/2012,
20009,DC,1.56,12699.0,9-7-2010,
20009,DC,1.56,,9-7-2010,
20009,DC,1.560.666,12699.0,9-7-2010,
20009,DC,1.560.666,,9-7-2010,
20011,DC,1.57,,7-6-2010,
20011,DC,1.57,,7-6-2010,
20010,DC,1.68,15020.0,09/30/2009,
20015,DC,1.68,12482.0,09/15/2010,
20010,DC,1.68,15020.0,09/30/2009,
20015,DC,1.68,,09/15/2010,
20009,DC,1.768,25482.0,02/13/2012,
20009,DC,1.768,25482.0,02/13/2012,
20003,DC,1.768,19606.0,02/21/2012,
20016,DC,1.8,15832.0,8-10-2010,
20016,DC,1.8,,8-10-2010,
20016,DC,1.84,14317.0,08/20/2012,
20010,DC,1.84,12774.0,10-1-2012,
20010,DC,1.84,44559.0,10-11-2010,
20016,DC,1.84,14317.0,08/20/2012,
20010,DC,1.84,12774.0,10-1-2012,
20010,DC,1.84,,10-11-2010,
20002,DC,1.85,12247.0,06/16/2011,
20007,DC,1.85,16265.0,10-8-2011,
20016,DC,1.88,16997.0,08/15/2012,
20011,DC,1.88,11310.0,08/27/2012,
20016,DC,1.88,16997.0,08/15/2012,
20011,DC,1.88,11310.0,08/27/2012,
20011,DC,1.904,,2-6-2012,
20002,DC,1.904,9130.0,9-10-2010,
20003,DC,1.904,8063.0,10/25/2010,
20011,DC,1.904,,2-6-2012,
20002,DC,1.904,29860.0,6-4-2012,
20002,DC,1.904,,9-10-2010,
20003,DC,1.904,,10/25/2010,
20003,DC,1.904,14805.0,02/21/2012,
20019,DC,1.92,9054.0,10-11-2012,
20019,DC,1.92,9054.0,10-11-2012,
20003,DC,1.96,8820.0,10/17/2012,
20003,DC,1.96,8820.0,10/17/2012,
20016,DC,2.0,15370.0,09/30/2009,
20008,DC,2.0,16100.0,05/24/2010,
20016,DC,2.0,31508.06,6-3-2010,
20016,DC,2.0,15370.0,09/30/2009,
20008,DC,2.0,16100.0,05/24/2010,
20016,DC,2.0,31508.06,6-3-2010,
20008,DC,2.0,,03/21/2011,
20016,DC,2.025,16777.0,12/23/2010,
20016,DC,2.025,16777.0,12/23/2010,
20010,DC,2.025,21700.0,10-8-2011,
20001,DC,2.04,11360.0,10/25/2010,
20002,DC,2.04,36999.0,06/15/2011,
20001,DC,2.04,,10/25/2010,
20006,DC,2.04,27509.0,10-8-2011,
20003,DC,2.07,9650.0,7-3-2012,
20008,DC,2.07,17200.0,08/17/2010,
20003,DC,2.07,9650.0,7-3-2012,
20008,DC,2.07,,08/17/2010,
20010,DC,2.092,,7-2-2011,
20020,DC,2.092,21158.0,10-8-2011,
20010,DC,2.1,21370.0,09/30/2009,
20016,DC,2.1,17800.0,05/24/2010,
20002,DC,2.1,26340.0,6-2-2010,
20008,DC,2.1,19799.0,06/21/2010,
20010,DC,2.1,,09/30/2009,
20008,DC,2.1,19799.0,06/21/2010,
20002,DC,2.1,26340.0,6-2-2010,
20016,DC,2.1,17800.0,05/24/2010,
20009,DC,2.115,16862.0,04/24/2012,
20011,DC,2.115,10364.0,04/24/2012,
20009,DC,2.115,16862.0,04/24/2012,
20011,DC,2.115,10364.0,04/24/2012,
20015,DC,2.15,17971.0,11/29/2010,
20015,DC,2.15,,11/29/2010,
20009,DC,2.15,23327.0,10-8-2011,
20009,DC,2.176,39154.0,06/21/2010,
20010,DC,2.176,39286.0,08/25/2010,
20002,DC,2.176,,08/25/2010,
20002,DC,2.176,27125.0,9-1-2010,
20010,DC,2.176,10900.0,9-7-2010,
20017,DC,2.176,19436.0,9-7-2010,
20011,DC,2.176,18562.0,9-7-2010,
20010,DC,2.176,16232.0,10-6-2010,
20011,DC,2.176,19149.0,10-6-2010,
20010,DC,2.176,12400.0,10-11-2010,
20008,DC,2.176,16732.0,06/28/2011,
20009,DC,2.176,39154.0,06/21/2010,
20010,DC,2.176,,10-6-2010,
20010,DC,2.176,,08/25/2010,
20002,DC,2.176,,08/25/2010,
20010,DC,2.176,,10-11-2010,
20011,DC,2.176,,10-6-2010,
20010,DC,2.176,,9-7-2010,
20002,DC,2.176,,9-1-2010,
20017,DC,2.176,,9-7-2010,
20011,DC,2.176,,9-7-2010,
20011,DC,2.176,23425.0,10-8-2011,
20007,DC,2.2,28176.0,11/18/2009,
20007,DC,2.2,28176.0,11/18/2009,
20010,DC,2.25,20235.0,09/30/2009,
20010,DC,2.25,21156.0,09/30/2009,
20015,DC,2.25,21565.0,09/30/2009,
20007,DC,2.25,21060.0,09/30/2009,
20005,DC,2.25,21825.0,08/25/2010,
20010,DC,2.25,19688.0,09/30/2010,
20010,DC,2.25,,09/30/2009,
20010,DC,2.25,,09/30/2009,
20015,DC,2.25,21565.0,09/30/2009,
20007,DC,2.25,21060.0,09/30/2009,
20010,DC,2.25,19688.0,09/30/2009,
20005,DC,2.25,,08/25/2010,
20008,DC,2.28,22160.0,09/30/2009,
20002,DC,2.28,22560.0,09/30/2009,
20012,DC,2.28,18070.0,6-3-2010,
20008,DC,2.28,22160.0,09/30/2009,
20002,DC,2.28,,09/30/2009,
20012,DC,2.28,18070.0,6-3-2010,
20002,DC,2.3,15009.0,2-6-2012,
20011,DC,2.3,14127.0,5-5-2012,
20007,DC,2.3,10028.0,08/27/2012,
20010,DC,2.3,20125.0,11/18/2009,
20003,DC,2.3,28280.0,08/15/2011,
20002,DC,2.3,15009.0,2-6-2012,
20011,DC,2.3,14127.0,5-5-2012,
20007,DC,2.3,10028.0,08/27/2012,
20010,DC,2.3,20125.0,11/18/2009,
20001,DC,2.3,14973.0,02/21/2012,
20001,DC,2.3,23460.0,10-8-2011,
20010,DC,2.3,,03/21/2011,
20002,DC,2.312,19485.0,06/21/2010,
20002,DC,2.312,19485.0,06/21/2010,
20007,DC,2.365,25893.0,12/26/2012,
20007,DC,2.365,25893.0,12/26/2012,
20010,DC,2.4,22480.0,09/30/2009,
20010,DC,2.4,19075.0,09/30/2009,
20010,DC,2.4,34068.0,09/30/2009,
20010,DC,2.4,18760.0,09/30/2009,
20010,DC,2.4,21410.0,09/30/2009,
20015,DC,2.4,20052.0,09/30/2009,
20010,DC,2.4,40678.0,11/18/2009,
20010,DC,2.4,,11/24/2009,
20010,DC,2.4,22623.0,11/24/2009,
20010,DC,2.4,36008.0,11/24/2009,
20010,DC,2.4,18280.0,05/24/2010,
20016,DC,2.4,18237.0,6-3-2010,
20010,DC,2.4,22480.0,09/30/2009,
20010,DC,2.4,,09/30/2009,
20010,DC,2.4,,09/30/2009,
20010,DC,2.4,,09/30/2009,
20010,DC,2.4,,09/30/2009,
20015,DC,2.4,20052.0,09/30/2009,
20010,DC,2.4,,11/18/2009,
20010,DC,2.4,,11/24/2009,
20010,DC,2.4,,11/24/2009,
20010,DC,2.4,,11/24/2009,
20010,DC,2.4,,11/18/2009,
20016,DC,2.4,18237.0,6-3-2010,
20010,DC,2.4,18280.0,05/24/2010,
20010,DC,2.44,22428.0,11/24/2009,
20010,DC,2.44,,11/24/2009,
20010,DC,2.448,15374.0,10-11-2012,
20002,DC,2.448,19336.0,08/31/2010,
20010,DC,2.448,19336.0,9-10-2010,
20010,DC,2.448,16003.0,10-6-2010,
20011,DC,2.448,18852.0,10-11-2010,
20011,DC,2.448,18566.0,10-11-2010,
20007,DC,2.448,,09/27/2011,
20015,DC,2.448,21986.0,10-8-2011,
20010,DC,2.448,15374.0,10-11-2012,
20002,DC,2.448,,08/31/2010,
20010,DC,2.448,,9-10-2010,
20010,DC,2.448,,10-6-2010,
20011,DC,2.448,,10-11-2010,
20011,DC,2.448,,10-11-2010,
20002,DC,2.448,20646.0,10-8-2011,
20002,DC,2.448,20098.0,10-8-2011,
20010,DC,2.45,11600.0,10-1-2012,
20010,DC,2.45,18035.0,09/30/2009,
20008,DC,2.45,21248.0,6-3-2010,
20003,DC,2.45,22000.0,08/31/2010,
20010,DC,2.45,11600.0,10-1-2012,
20010,DC,2.45,18035.0,09/30/2009,
20008,DC,2.45,,6-3-2010,
20003,DC,2.45,,08/31/2010,
20010,DC,2.46,20910.0,09/30/2009,
20019,DC,2.46,19220.0,09/30/2009,
20010,DC,2.46,21402.0,11/18/2009,
20010,DC,2.46,19680.0,11/18/2009,
20010,DC,2.46,21402.0,11/18/2009,
20010,DC,2.46,,11/24/2009,
20010,DC,2.46,22263.0,11/24/2009,
20010,DC,2.46,22386.0,12/14/2009,
20010,DC,2.46,20910.0,5-7-2010,
20010,DC,2.46,,09/30/2009,
20019,DC,2.46,19220.0,09/30/2009,
20010,DC,2.46,,11/24/2009,
20010,DC,2.46,,5-7-2010,
20010,DC,2.46,,11/18/2009,
20010,DC,2.46,,11/24/2009,
20010,DC,2.46,,12/14/2009,
20010,DC,2.46,,11/18/2009,
20010,DC,2.46,,11/18/2009,
20007,DC,2.464,24196.0,06/30/2010,
20024,DC,2.464,24196.0,06/30/2010,
20009,DC,2.5,10857.0,10-11-2012,
20009,DC,2.5,10857.0,10-11-2012,
20003,DC,2.53,12523.0,3-12-2012,
20011,DC,2.53,11511.0,08/27/2012,
20007,DC,2.53,16029.0,09/26/2012,
20009,DC,2.53,19190.51,10/27/2010,
20002,DC,2.53,30454.0,06/15/2011,
20003,DC,2.53,12523.0,3-12-2012,
20011,DC,2.53,11511.0,08/27/2012,
20007,DC,2.53,16029.0,09/26/2012,
20009,DC,2.53,,10/27/2010,
20002,DC,2.53,28068.35,10-8-2011,
20019,DC,2.58,4624.57,5-7-2012,
20019,DC,2.58,4624.57,5-7-2012,
20019,DC,2.58,,8-1-2012,
20001,DC,2.584,22500.0,01/26/2011,
20003,DC,2.584,18520.5,01/26/2011,
20008,DC,2.584,27632.0,10-8-2011,
20007,DC,2.584,,10-8-2011,
20007,DC,2.585,16265.0,10-8-2011,
20007,DC,2.585,15162.0,12-12-2011,
20002,DC,2.585,24715.0,02/21/2012,
20010,DC,2.585,24396.0,10-8-2011,
20010,DC,2.6,12935.0,10-11-2012,
20010,DC,2.6,26796.0,11/18/2009,
20018,DC,2.6,19189.0,10/25/2010,
20010,DC,2.6,12935.0,10-11-2012,
20010,DC,2.6,,11/18/2009,
20018,DC,2.6,,10/25/2010,
20010,DC,2.636,21670.0,03/14/2011,
20012,DC,2.636,28125.0,10-8-2011,
20010,DC,2.66,23060.0,09/30/2009,
20010,DC,2.66,22750.0,09/30/2009,
20017,DC,2.66,25460.0,6-3-2010,
20010,DC,2.66,,09/30/2009,
20010,DC,2.66,22750.0,09/30/2009,
20017,DC,2.66,25460.0,6-3-2010,
20024,DC,2.688,,03/21/2011,
20016,DC,2.7,24900.0,09/30/2009,
20016,DC,2.7,35550.0,09/30/2009,
20002,DC,2.7,25824.0,09/30/2009,
20016,DC,2.7,24300.0,09/30/2009,
20010,DC,2.7,18860.0,11/18/2009,
20010,DC,2.7,,11/24/2009,
20016,DC,2.7,32975.0,02/24/2010,
20020,DC,2.7,23301.0,01/26/2011,
20016,DC,2.7,24300.0,09/30/2009,
20016,DC,2.7,24900.0,09/30/2009,
20016,DC,2.7,35550.0,09/30/2009,
20002,DC,2.7,25824.0,09/30/2009,
20010,DC,2.7,,11/18/2009,
20010,DC,2.7,,11/24/2009,
20016,DC,2.7,32975.0,02/24/2010,
20007,DC,2.7,,09/27/2011,
20010,DC,2.72,,09/20/2010,
20009,DC,2.73,19902.0,9-7-2010,
20009,DC,2.73,,9-7-2010,
20002,DC,2.76,35000.0,01/21/2012,
20016,DC,2.76,21700.0,01/21/2012,
20009,DC,2.76,24702.0,5-5-2012,
20012,DC,2.76,14628.0,8-6-2012,
20012,DC,2.76,11592.0,09/26/2012,
20015,DC,2.76,20260.0,8-9-2010,
20007,DC,2.76,39905.0,11/29/2010,
20009,DC,2.76,20320.0,01/21/2011,
20010,DC,2.76,,09/13/2011,
20010,DC,2.76,21700.0,10-8-2011,
20002,DC,2.76,35000.0,01/21/2012,
20016,DC,2.76,21700.0,01/21/2012,
20009,DC,2.76,24702.0,5-5-2012,
20012,DC,2.76,14628.0,8-6-2012,
20012,DC,2.76,11592.0,09/26/2012,
20015,DC,2.76,,8-9-2010,
20007,DC,2.76,39905.0,11/29/2010,
20002,DC,2.76,28114.0,02/21/2012,
20002,DC,2.76,9938.0,02/21/2012,
20016,DC,2.76,106882.16,09/23/2011,
20016,DC,2.76,,09/23/2011,
20016,DC,2.76,,09/23/2011,
20010,DC,2.76,,09/13/2011,
20002,DC,2.76,,06/21/2011,
20010,DC,2.76,,12-9-2011,
20006,DC,2.795,27509.0,10-8-2011,
20017,DC,2.795,33332.0,09/13/2011,
20010,DC,2.8,25200.0,09/30/2009,
20020,DC,2.8,25200.0,09/30/2009,
20002,DC,2.8,20000.0,6-3-2010,
20010,DC,2.8,25200.0,09/30/2009,
20020,DC,2.8,25200.0,09/30/2009,
20002,DC,2.8,20000.0,6-3-2010,
20002,DC,2.804.665,16708.0,10/17/2012,
20002,DC,2.804.665,16708.0,10/17/2012,
20009,DC,2.82,26226.0,6-4-2012,
20002,DC,2.82,21340.0,6-12-2012,
20003,DC,2.82,12408.0,10/17/2012,
20003,DC,2.82,21440.0,12-12-2011,
20009,DC,2.82,26226.0,6-4-2012,
20002,DC,2.82,21340.0,6-12-2012,
20003,DC,2.82,12408.0,10/17/2012,
20002,DC,2.82,25831.0,02/21/2012,
20012,DC,2.85,16570.0,12/26/2012,
20012,DC,2.85,16570.0,12/26/2012,
20003,DC,2.856,21848.0,10/25/2010,
20003,DC,2.856,,10/25/2010,
20015,DC,2.88,18495.0,04/24/2012,
20011,DC,2.88,28656.0,10-11-2012,
20015,DC,2.88,18495.0,04/24/2012,
20011,DC,2.88,28656.0,10-11-2012,
20010,DC,2.917,26128.0,11/24/2009,
20010,DC,2.917,26128.0,11/24/2009,
20003,DC,2.925,18314.0,06/16/2011,
20007,DC,2.925,37004.0,09/13/2011,
20011,DC,2.94,12642.0,10-11-2012,
20020,DC,2.94,12902.0,10-11-2012,
20009,DC,2.94,32850.0,09/30/2009,
20002,DC,2.94,24358.0,08/25/2010,
20020,DC,2.94,21158.0,10-8-2011,
20011,DC,2.94,12642.0,10-11-2012,
20020,DC,2.94,12902.0,10-11-2012,
20009,DC,2.94,32850.0,09/30/2009,
20001,DC,2.94,,02/24/2010,
20002,DC,2.94,,08/25/2010,
20016,DC,2.94,56755.0,9-12-2011,
20007,DC,2.96,23528.0,11/29/2010,
20007,DC,2.96,23528.0,11/29/2010,
20003,DC,2.96,28280.0,08/15/2011,
20002,DC,2.975,21628.0,7-6-2010,
20002,DC,2.975,21628.0,7-6-2010,
20007,DC,2.99,35170.0,02/13/2012,
20003,DC,2.99,19606.0,02/21/2012,
20003,DC,2.99,13993.0,4-7-2012,
20003,DC,2.99,10500.0,5-5-2012,
20003,DC,2.99,35600.0,08/20/2012,
20016,DC,2.99,11500.0,10-1-2012,
20016,DC,2.99,29035.0,08/24/2010,
20010,DC,2.99,14154.0,09/20/2010,
20003,DC,2.99,29489.0,1-10-2011,
20010,DC,2.99,47473.0,01/26/2011,
20010,DC,2.99,20451.33,01/26/2011,
20007,DC,2.99,35170.0,02/13/2012,
20003,DC,2.99,19606.0,02/21/2012,
20003,DC,2.99,13993.0,4-7-2012,
20003,DC,2.99,10500.0,5-5-2012,
20003,DC,2.99,35600.0,08/20/2012,
20016,DC,2.99,11500.0,10-1-2012,
20016,DC,2.99,,08/24/2010,
20003,DC,2.99,,1-10-2011,
20007,DC,2.99,17191.0,02/14/2012,
20009,DC,2.99,25482.0,02/13/2012,
20003,DC,2.99,25858.0,08/15/2011,
20010,DC,2.99,32940.0,08/15/2011,
20016,DC,2.99,30787.0,08/15/2011,
20003,DC,2.99,,03/21/2011,
20007,DC,2.99,,09/22/2011,
20010,DC,2.99,,07/21/2011,
20003,DC,2.992,22369.0,10-11-2010,
20003,DC,2.992,,10-11-2010,
20012,DC,3.0,23500.0,10-1-2012,
20011,DC,3.0,12893.0,10-11-2012,
20001,DC,3.0,21520.0,12/26/2012,
20003,DC,3.0,25500.0,09/30/2009,
20009,DC,3.0,28630.0,09/30/2009,
20020,DC,3.0,27900.0,09/30/2009,
20020,DC,3.0,22997.0,02/24/2010,
20015,DC,3.0,19383.0,05/24/2010,
20002,DC,3.0,27666.08,6-3-2010,
20003,DC,3.0,21905.0,06/21/2010,
20009,DC,3.0,19387.0,08/31/2010,
20009,DC,3.0,43000.0,9-1-2010,
20009,DC,3.0,19387.0,9-7-2010,
20009,DC,3.0,28127.5,10-12-2010,
20012,DC,3.0,23500.0,10-1-2012,
20011,DC,3.0,12893.0,10-11-2012,
20001,DC,3.0,21520.0,12/26/2012,
20020,DC,3.0,27900.0,09/30/2009,
20003,DC,3.0,,09/30/2009,
20009,DC,3.0,28630.0,09/30/2009,
20020,DC,3.0,,02/24/2010,
20002,DC,3.0,27666.08,6-3-2010,
20003,DC,3.0,21905.0,06/21/2010,
20015,DC,3.0,19383.0,05/24/2010,
20009,DC,3.0,,9-1-2010,
20009,DC,3.0,,9-7-2010,
20009,DC,3.0,,08/31/2010,
20009,DC,3.0,,10-12-2010,
20009,DC,3.01,23327.0,10-8-2011,
20016,DC,3.01,73416.0,08/15/2011,
20010,DC,3.04,24880.0,09/30/2009,
20010,DC,3.04,23210.0,09/30/2009,
20010,DC,3.04,24700.0,09/30/2009,
20010,DC,3.04,24380.0,09/30/2009,
20010,DC,3.04,22670.0,09/30/2009,
20010,DC,3.04,24260.0,11/24/2009,
20010,DC,3.04,24880.0,09/30/2009,
20010,DC,3.04,23210.0,09/30/2009,
20010,DC,3.04,,09/30/2009,
20010,DC,3.04,24380.0,09/30/2009,
20010,DC,3.04,22670.0,09/30/2009,
20010,DC,3.04,24260.0,11/24/2009,
20003,DC,3.05,13642.0,7-3-2012,
20003,DC,3.05,13642.0,7-3-2012,
20018,DC,3.055,15198.63,09/19/2012,
20002,DC,3.055,15198.63,10-11-2012,
20011,DC,3.055,23425.0,10-8-2011,
20018,DC,3.055,15198.63,09/19/2012,
20002,DC,3.055,15198.63,10-11-2012,
20015,DC,3.055,25110.0,8-6-2011,
20002,DC,3.055,,07/23/2012,
20002,DC,3.06,23840.0,7-3-2012,
20016,DC,3.06,25200.0,01/21/2011,
20002,DC,3.06,23840.0,7-3-2012,
20001,DC,3.06,28451.0,8-6-2011,
20018,DC,3.068,0.0,3-1-2011,
20003,DC,3.08,15750.0,7-3-2012,
20002,DC,3.08,18606.5,09/19/2012,
20018,DC,3.08,21286.0,12/23/2010,
20003,DC,3.08,15750.0,7-3-2012,
20002,DC,3.08,18606.5,09/19/2012,
20018,DC,3.08,21286.0,12/23/2010,
20016,DC,3.08,32378.0,8-6-2011,
20009,DC,3.12,15522.0,12/26/2012,
20009,DC,3.12,15522.0,12/26/2012,
20002,DC,3.128,27213.0,08/17/2010,
20001,DC,3.128,23460.0,10-8-2011,
20002,DC,3.128,27213.0,08/17/2010,
20002,DC,3.128,21094.0,07/21/2011,
20011,DC,3.136,21199.0,06/28/2011,
20016,DC,3.136,23613.0,07/21/2011,
20011,DC,3.136,,03/21/2011,
20003,DC,3.15,26325.0,09/30/2009,
20010,DC,3.15,30135.0,09/30/2009,
20018,DC,3.15,28350.0,09/30/2009,
20009,DC,3.15,29950.0,09/30/2009,
20016,DC,3.15,28850.0,11/18/2009,
20010,DC,3.15,28665.0,11/24/2009,
20016,DC,3.15,25579.0,06/21/2010,
20016,DC,3.15,27000.0,9-10-2010,
20017,DC,3.15,,10-12-2010,
20009,DC,3.15,29950.0,09/30/2009,
20003,DC,3.15,26325.0,09/30/2009,
20010,DC,3.15,,09/30/2009,
20018,DC,3.15,28350.0,09/30/2009,
20010,DC,3.15,,11/24/2009,
20016,DC,3.15,28850.0,11/18/2009,
20016,DC,3.15,25579.0,06/21/2010,
20016,DC,3.15,,9-10-2010,
20017,DC,3.15,,10-12-2010,
20019,DC,3.15,,03/21/2011,
20020,DC,3.185,14014.0,10-11-2012,
20020,DC,3.185,14014.0,10-11-2012,
20007,DC,3.2,17191.0,02/14/2012,
20010,DC,3.2,19350.0,8-9-2010,
20010,DC,3.2,19776.0,8-10-2010,
20003,DC,3.2,19998.0,10-11-2010,
20007,DC,3.2,17191.0,02/14/2012,
20010,DC,3.2,,8-9-2010,
20010,DC,3.2,,8-10-2010,
20003,DC,3.2,,10-11-2010,
20007,DC,3.2,35170.0,02/13/2012,
20011,DC,3.22,23040.0,3-12-2012,
20007,DC,3.22,17000.0,4-7-2012,
20002,DC,3.22,16806.0,4-10-2012,
20002,DC,3.22,18135.0,06/17/2012,
20003,DC,3.22,14522.0,08/20/2012,
20011,DC,3.22,12975.0,09/18/2012,
20015,DC,3.22,14300.0,09/19/2012,
20002,DC,3.22,32200.0,12/22/2009,
20011,DC,3.22,26375.0,6-3-2010,
20007,DC,3.22,25599.0,01/26/2011,
20002,DC,3.22,,06/15/2011,
20002,DC,3.22,20098.0,10-8-2011,
20011,DC,3.22,23040.0,3-12-2012,
20007,DC,3.22,17000.0,4-7-2012,
20002,DC,3.22,16806.0,4-10-2012,
