Zipcode,State,Size (kW DC),Cost,Date Installed
19713,DE,0.5,,04/30/2013
19709,DE,0.92,17662.5,12/7/2011
19904,DE,1.0,,10/19/2010
19952,DE,1.0,,02/17/2012
19971,DE,1.1,11200.0,07/17/2007
19971,DE,1.2,,1/9/2014
19709,DE,1.2,9920.0,9/12/2007
19709,DE,1.2,5200.0,09/23/2008
19809,DE,1.21,,2/1/2009
19947,DE,1.26,6600.0,11/22/2011
19701,DE,1.3,,05/27/2010
19701,DE,1.35,17980.0,12/8/2009
19701,DE,1.35,25779.0,12/8/2009
19701,DE,1.35,16576.0,12/8/2009
19701,DE,1.35,17550.0,12/8/2009
19701,DE,1.38,24500.0,12/7/2011
19804,DE,1.38,24232.95,6/9/2011
19945,DE,1.4,,09/15/2010
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,22210.0,02/23/2009
19701,DE,1.4,22222.0,12/8/2009
19809,DE,1.46,14531.34,6/1/2007
19703,DE,1.47,,08/23/2012
19970,DE,1.5,19626.0,11/3/2006
19701,DE,1.575,19669.0,04/26/2011
19805,DE,1.575,25869.0,10/15/2010
19701,DE,1.58,12127.5,04/30/2010
19701,DE,1.58,12127.5,4/1/2010
19701,DE,1.58,12127.5,10/1/2011
19701,DE,1.6,,08/16/2013
19803,DE,1.6,10800.0,4/1/2010
19803,DE,1.6,21147.0,04/26/2011
19701,DE,1.62,19856.0,09/16/2008
19945,DE,1.645,10750.0,04/18/2011
19968,DE,1.65,,8/3/2014
19709,DE,1.66,,08/24/2012
19805,DE,1.72,,05/31/2013
19713,DE,1.75,20965.0,1/1/2009
19934,DE,1.75,15016.0,08/14/2009
19713,DE,1.75,26325.0,9/11/2009
19958,DE,1.8,19337.0,9/10/2008
19968,DE,1.8,,04/18/2008
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19709,DE,1.8,29601.0,10/31/2007
19810,DE,1.8,31396.0,08/15/2008
19701,DE,1.8,25935.0,6/2/2010
19701,DE,1.8,21645.0,6/2/2010
19701,DE,1.8,30170.0,6/2/2010
19958,DE,1.8,21078.0,04/26/2010
19711,DE,1.8,19337.0,03/14/2008
19951,DE,1.8,15300.0,05/20/2009
19958,DE,1.8,,06/25/2008
19958,DE,1.8,,03/19/2009
19971,DE,1.8,,06/28/2008
19971,DE,1.8,14850.0,06/30/2008
19711,DE,1.8,19000,2/8/2007
19958,DE,1.82,,7/1/2010
19945,DE,1.84,,07/13/2012
19958,DE,1.88,,08/29/2011
19958,DE,1.88,12502.0,1/9/2012
19963,DE,1.89,,07/14/2009
19971,DE,1.89,,06/22/2011
19963,DE,1.89,19120.0,9/4/2009
19720,DE,1.96,,10/8/2014
19958,DE,2.0,,12/9/2014
19720,DE,2.0,14999.0,11/23/2010
19702,DE,2.0,,08/19/2008
19808,DE,2.0,16000.0,8/1/2007
19808,DE,2.0,14999.0,09/26/2007
19971,DE,2.0,34500.0,8/7/2009
19971,DE,2.0,25074.0,6/2/2010
19807,DE,2.0,24000.0,3/1/2008
19904,DE,2.04,,09/27/2013
19964,DE,2.04,13074.37,1/12/2011
19708,DE,2.07,,7/7/2010
19709,DE,2.07,,11/8/2010
19803,DE,2.07,23280.0,6/2/2010
19803,DE,2.07,18732.0,9/3/2009
19707,DE,2.1,18900.0,1/1/2009
19804,DE,2.1,,03/18/2011
19702,DE,2.1,,05/29/2008
19707,DE,2.1,37698.0,6/12/2009
19803,DE,2.15,17850.0,10/8/2008
19803,DE,2.15,28769.0,2/11/2009
19958,DE,2.16,21980.0,08/16/2008
19711,DE,2.2,18700.0,01/20/2009
19958,DE,2.2,,6/11/2012
19711,DE,2.2,31696.35,5/11/2010
19968,DE,2.22,23066.0,02/29/2008
19806,DE,2.22,22000.0,2/2/2004
19968,DE,2.22,37130.0,03/25/2008
19901,DE,2.25,15750.0,12/1/2010
19901,DE,2.25,21700.0,12/7/2011
19968,DE,2.3,,11/12/2013
19720,DE,2.3,20700.0,1/1/2009
19963,DE,2.3,,09/24/2010
19963,DE,2.3,16098.4,09/24/2010
19720,DE,2.3,39661.33,6/12/2009
19963,DE,2.3,16100.0,03/21/2011
19968,DE,2.35,,02/16/2011
19960,DE,2.35,,12/4/2012
19963,DE,2.35,16450.0,05/17/2011
19968,DE,2.4,,2/4/2009
19802,DE,2.4,19539.0,7/1/2006
19947,DE,2.4,21000.0,1/10/2009
19970,DE,2.4,21600.0,9/1/2006
19963,DE,2.4,,04/18/2011
19968,DE,2.4,19800.0,11/20/2008
19970,DE,2.4,43478.0,09/19/2006
19802,DE,2.4,15300.0,07/21/2006
19971,DE,2.4,24297.2,4/9/2008
19971,DE,2.4,31500.0,07/16/2008
19803,DE,2.4,14642.0,06/23/2008
19971,DE,2.4,27600.0,05/29/2008
19901,DE,2.431,25525.0,11/15/2007
19806,DE,2.45,,3/6/2013
19808,DE,2.45,25063.0,4/1/2009
19958,DE,2.45,,1/3/2012
19808,DE,2.45,23649.2,12/8/2009
19958,DE,2.45,13880.0,02/17/2012
19709,DE,2.47,22785.0,5/9/2005
19945,DE,2.52,20900.0,12/31/2009
19945,DE,2.52,20900.0,12/31/2009
19945,DE,2.52,,10/4/2010
19945,DE,2.52,16984.8,1/6/2011
19805,DE,2.52,,09/29/2010
19805,DE,2.52,19794.12,10/13/2010
19977,DE,2.53,18055.0,8/5/2011
19977,DE,2.53,,6/1/2010
19709,DE,2.53,,5/1/2011
19709,DE,2.53,16445.0,09/30/2011
19958,DE,2.59,,1/3/2011
19958,DE,2.59,8961.4,01/21/2011
19808,DE,2.6,,08/27/2014
19806,DE,2.6,,08/20/2013
19803,DE,2.625,17797.0,12/7/2011
19720,DE,2.625,25540.0,09/19/2009
19803,DE,2.63,23250.0,01/15/2010
19720,DE,2.65,33306.0,12/15/2010
19975,DE,2.7,18900.0,12/1/2010
19963,DE,2.7,,12/10/2010
19975,DE,2.7,24896.0,12/7/2011
19963,DE,2.7,18225.0,05/17/2011
19977,DE,2.76,21733.0,05/20/2010
19977,DE,2.8,,03/29/2010
19968,DE,2.8,25200.0,7/1/2006
19943,DE,2.8,,12/1/2007
19977,DE,2.8,,8/1/2009
19802,DE,2.8,21700.0,6/1/2007
19804,DE,2.8,23100.0,10/1/2008
19711,DE,2.8,31440.0,6/1/2009
19711,DE,2.8,,10/1/2007
19709,DE,2.8,,05/20/2011
19805,DE,2.8,25154.0,06/15/2009
19975,DE,2.8,27588.0,02/23/2009
19709,DE,2.8,52125.0,7/1/2006
19968,DE,2.8,34571.24,09/15/2006
19802,DE,2.8,9000.0,07/26/2007
19709,DE,2.8,33519.0,8/2/2007
19804,DE,2.8,26800.0,02/15/2008
19709,DE,2.8,10900.0,01/15/2009
19804,DE,2.8,48071.0,6/12/2009
19810,DE,2.8,35398.8,9/11/2009
19805,DE,2.8,25245.0,6/2/2010
19720,DE,2.8,31680.0,04/26/2011
19711,DE,2.8,29400.0,12/4/2007
19711,DE,2.8,31440.0,1/4/2010
19977,DE,2.8,23538.0,02/19/2010
19709,DE,2.8,,5/1/2006
19804,DE,2.8,23100.0,1/2/2008
19709,DE,2.8,25200.0,8/1/2007
19958,DE,2.8,,5/1/2007
19944,DE,2.8,,04/22/2009
19930,DE,2.82,55000.0,07/20/2010
19958,DE,2.82,,10/31/2011
19939,DE,2.82,,8/3/2011
19939,DE,2.82,19035.0,11/1/2011
19930,DE,2.82,46214.9,08/24/2011
19901,DE,2.85,21412.0,01/31/2011
19901,DE,2.85,31900.0,12/7/2011
19958,DE,2.87,,12/10/2010
19958,DE,2.87,16215.5,3/8/2011
19958,DE,2.87,16215.5,07/20/2011
19945,DE,2.88,,07/25/2011
19958,DE,2.88,,05/23/2012
19958,DE,2.88,,9/9/2012
19958,DE,2.88,15796.0,07/19/2012
19707,DE,2.9,,9/1/2009
19958,DE,2.94,22932.0,11/2/2009
19711,DE,2.94,,12/1/2010
19707,DE,2.94,15350.0,12/15/2010
19711,DE,2.94,14994.0,03/18/2011
19958,DE,2.94,,11/3/2009
19968,DE,2.96,,03/15/2011
19939,DE,2.96,,05/13/2011
19808,DE,2.96,,04/27/2011
19804,DE,2.96,,4/2/2012
19968,DE,2.96,18172.8,04/28/2011
19939,DE,2.96,18707.2,6/1/2011
19958,DE,3.0,,05/13/2013
19720,DE,3.0,,07/23/2013
19711,DE,3.0,27155.0,07/17/2007
19977,DE,3.0,,11/9/2007
19966,DE,3.0,,09/30/2008
19804,DE,3.0,24750.0,4/1/2009
19720,DE,3.0,27524.0,08/28/2007
19711,DE,3.0,,09/17/2007
19973,DE,3.0,,6/1/2008
19966,DE,3.0,24750.0,11/20/2008
19973,DE,3.0,25740.0,8/11/2009
19971,DE,3.0,21000.0,07/21/2006
19720,DE,3.0,16720.0,9/10/2007
19971,DE,3.0,33000.0,11/15/2007
19958,DE,3.0,29987.0,05/15/2008
19971,DE,3.0,32332.4,03/24/2009
19963,DE,3.0,38050.0,09/16/2008
19804,DE,3.0,29830.0,12/8/2009
19711,DE,3.0,27524.0,10/9/2007
19971,DE,3.0,27750.0,5/2/2008
19971,DE,3.0,24000.0,09/14/2007
19971,DE,3.0,,01/22/2009
19971,DE,3.0,,6/2/2009
19945,DE,3.04,,02/21/2012
19702,DE,3.04,,01/26/2012
19945,DE,3.04,17287.15,3/5/2012
19971,DE,3.06,,7/8/2013
19958,DE,3.06,,8/3/2012
19808,DE,3.075,26624.0,9/11/2009
19807,DE,3.075,38862.5,10/1/2010
19807,DE,3.075,46158.0,10/1/2010
19904,DE,3.075,20420.0,05/26/2010
19701,DE,3.12,,03/25/2014
19707,DE,3.12,,6/1/2012
19805,DE,3.136,14860.0,9/11/2009
19803,DE,3.15,22354.65,12/13/2010
19960,DE,3.15,,07/20/2009
19713,DE,3.15,35008.0,06/22/2009
19960,DE,3.15,24885.0,10/23/2009
19958,DE,3.15,21105.0,12/9/2009
19808,DE,3.15,17900.0,9/11/2009
19713,DE,3.15,32980.0,6/2/2010
19930,DE,3.15,36951.92,12/8/2009
19809,DE,3.15,40178.0,12/15/2010
19806,DE,3.15,33120.0,6/6/2011
19711,DE,3.15,18346.0,12/7/2011
19803,DE,3.15,17050.0,10/26/2011
19977,DE,3.15,25987.5,04/16/2008
19806,DE,3.15,27829.0,04/13/2010
19805,DE,3.15,25500.0,1/1/2009
19930,DE,3.15,24885.0,4/7/2009
19971,DE,3.15,,6/1/2006
19709,DE,3.168,13590.0,6/6/2011
19808,DE,3.168,20645.0,03/30/2011
19701,DE,3.168,22011.6,6/6/2011
19709,DE,3.168,25750.0,02/19/2010
19701,DE,3.17,21000.0,12/9/2009
19709,DE,3.17,29000.0,12/28/2009
19709,DE,3.17,,09/25/2009
19707,DE,3.17,24000.0,11/29/2009
19968,DE,3.2,,7/7/2007
19977,DE,3.2,,2/1/2008
19968,DE,3.2,25600.0,7/2/2008
19973,DE,3.2,26500.0,10/2/2008
19945,DE,3.2,15840.0,07/26/2011
19958,DE,3.2,33552.0,06/18/2008
19711,DE,3.2,,7/3/2007
19930,DE,3.2,25600.0,12/18/2008
19930,DE,3.2,,11/19/2007
19958,DE,3.2,,11/10/2009
19958,DE,3.22,16422.0,6/7/2010
19947,DE,3.22,25727.8,02/24/2009
19958,DE,3.22,,07/29/2010
19966,DE,3.24,,10/20/2010
19962,DE,3.24,,5/9/2011
19939,DE,3.24,31410.0,08/15/2008
19966,DE,3.24,22842.0,01/31/2011
19958,DE,3.24,25400.0,11/23/2010
19713,DE,3.25,,11/13/2014
19960,DE,3.25,,6/3/2009
19971,DE,3.26,,8/1/2012
19930,DE,3.28,12927.69,12/7/2007
19958,DE,3.29,,02/15/2011
19808,DE,3.29,,3/3/2011
19963,DE,3.29,,10/26/2012
19963,DE,3.29,23474.0,12/13/2012
19977,DE,3.3,,4/9/2009
19804,DE,3.3,,02/22/2011
19958,DE,3.32,,11/13/2014
19808,DE,3.32,29330.0,3/9/2010
19808,DE,3.325,22890.85,04/26/2011
19711,DE,3.325,27431.25,02/25/2008
19958,DE,3.33,,6/1/2011
19804,DE,3.33,35906.0,4/1/2011
19958,DE,3.33,22610.7,9/8/2011
19810,DE,3.36,,02/20/2013
19702,DE,3.36,,3/11/2013
19713,DE,3.36,26666.0,10/7/2008
19966,DE,3.36,,04/14/2011
19934,DE,3.36,27720.0,08/15/2008
19960,DE,3.36,19100.0,4/9/2009
19713,DE,3.36,24000.0,6/12/2009
19966,DE,3.36,64000.0,6/6/2012
19934,DE,3.4,,10/1/2008
19966,DE,3.42,,12/27/2011
19958,DE,3.42,,8/1/2012
19711,DE,3.42,26455.0,11/22/2010
19944,DE,3.42,45360.0,10/2/2010
19809,DE,3.42,27356.0,1/1/2010
19720,DE,3.43,,04/26/2013
19934,DE,3.43,,05/22/2013
19720,DE,3.43,,04/30/2013
19966,DE,3.44,,02/16/2009
19966,DE,3.44,30043.0,01/26/2009
19934,DE,3.45,29325.0,05/20/2010
19963,DE,3.49,22408.55,10/14/2010
19803,DE,3.5,,06/19/2013
19720,DE,3.5,,06/20/2013
19701,DE,3.5,,6/10/2014
19720,DE,3.5,,08/14/2014
19968,DE,3.5,,07/30/2014
19709,DE,3.5,,7/6/2010
19810,DE,3.5,28947.0,4/1/2009
19808,DE,3.5,35125.0,3/1/2009
19711,DE,3.5,36502.0,5/1/2009
19958,DE,3.5,31800.0,12/3/2008
19977,DE,3.5,32179.0,3/12/2009
19966,DE,3.5,27839.0,03/24/2011
19810,DE,3.5,41273.6,6/2/2010
19711,DE,3.5,34221.04,12/8/2009
19930,DE,3.5,18335.0,10/26/2011
19971,DE,3.5,39819.0,01/24/2011
19709,DE,3.5,28638.0,7/9/2010
19709,DE,3.5,29920.0,05/21/2010
19709,DE,3.5,,2/2/2010
19966,DE,3.5,,10/10/2009
19930,DE,3.5,27825.0,10/1/2009
19803,DE,3.51,,04/15/2011
19958,DE,3.525,,11/14/2011
19946,DE,3.525,19343.75,02/25/2011
19958,DE,3.525,22925.0,3/2/2012
19946,DE,3.53,,01/25/2011
19971,DE,3.53,,08/20/2012
19934,DE,3.56,,3/1/2009
19946,DE,3.564,30000.0,7/2/2008
19977,DE,3.564,30350.0,11/24/2010
19946,DE,3.58,,10/1/2009
19950,DE,3.58,,4/1/2009
19934,DE,3.6,29988.0,7/3/2007
19701,DE,3.6,,02/18/2009
19973,DE,3.6,,10/4/2008
19711,DE,3.6,28661.0,01/25/2006
19720,DE,3.6,34188.0,8/1/2006
19711,DE,3.6,,01/16/2008
19711,DE,3.6,27000.0,10/15/2009
19711,DE,3.6,,01/16/2008
19970,DE,3.6,,12/27/2011
19709,DE,3.6,36155.0,03/17/2006
19711,DE,3.6,30000.0,01/30/2006
19701,DE,3.6,16632.96,08/18/2006
19720,DE,3.6,16301.0,10/3/2006
19720,DE,3.6,18630.0,07/28/2006
19934,DE,3.6,35328.0,8/10/2006
19707,DE,3.6,34000.0,8/9/2006
19711,DE,3.6,23250.0,12/28/2007
19701,DE,3.6,35263.08,9/11/2009
19707,DE,3.6,38310.0,2/10/2009
19971,DE,3.6,17600.0,12/8/2009
19711,DE,3.6,29040.0,11/8/2010
19711,DE,3.6,31210.0,02/25/2008
19973,DE,3.6,29950.0,3/3/2009
19947,DE,3.6,,6/2/2008
19953,DE,3.6,,8/1/2009
19971,DE,3.6,32392.0,04/24/2009
19720,DE,3.64,,12/23/2014
19958,DE,3.66,,9/1/2010
19971,DE,3.675,31700.0,6/2/2010
19711,DE,3.68,,04/30/2013
19713,DE,3.68,,09/19/2014
19707,DE,3.68,,9/5/2012
19809,DE,3.68,,08/29/2012
19901,DE,3.68,,08/30/2012
19966,DE,3.68,,07/27/2010
19709,DE,3.68,29744.0,04/19/2010
19901,DE,3.68,,5/1/2010
19958,DE,3.68,,7/11/2011
19958,DE,3.68,,1/7/2011
19958,DE,3.68,,12/30/2011
19966,DE,3.68,29268.0,01/31/2011
19958,DE,3.68,20056.0,3/6/2012
19810,DE,3.68,35305.0,05/18/2009
19807,DE,3.68,23760.0,01/24/2011
19709,DE,3.68,24038.0,5/9/2011
19709,DE,3.68,11540.0,04/26/2011
19901,DE,3.68,30000.0,08/16/2010
19958,DE,3.68,18510.4,9/8/2011
19807,DE,3.68,,1/11/2009
19702,DE,3.69,29128.0,9/1/2009
19702,DE,3.69,17981.0,6/2/2010
19958,DE,3.69,26440.0,11/24/2010
19971,DE,3.696,29970.0,4/9/2008
19975,DE,3.7,,2/9/2011
19977,DE,3.7,,12/23/2010
19701,DE,3.7,23250.0,09/24/2010
19934,DE,3.7,28336.0,5/1/2009
19709,DE,3.7,28704.0,1/10/2010
19968,DE,3.7,22903.0,10/14/2010
19975,DE,3.7,,02/17/2011
19975,DE,3.7,,02/25/2011
19966,DE,3.7,,1/5/2012
19977,DE,3.7,23800.0,9/3/2010
19975,DE,3.7,23199.0,03/30/2011
19975,DE,3.7,21441.5,03/16/2011
19975,DE,3.7,22570.0,03/16/2011
19966,DE,3.7,17020.0,01/27/2012
19807,DE,3.7,23250.0,3/7/2008
19701,DE,3.7,21250.0,05/27/2011
19968,DE,3.7,8774.0,09/21/2011
19807,DE,3.7,33300.0,12/1/2007
19706,DE,3.75,,6/11/2013
19706,DE,3.75,49732.0,7/8/2013
19970,DE,3.76,,12/27/2011
19944,DE,3.76,,07/16/2012
19958,DE,3.76,28860.0,2/4/2011
19968,DE,3.78,,2/2/2009
19734,DE,3.78,29128.0,6/8/2009
19966,DE,3.78,,10/1/2008
19966,DE,3.78,,1/5/2009
19966,DE,3.78,,12/1/2009
19963,DE,3.78,,04/15/2009
19901,DE,3.78,,04/14/2009
19711,DE,3.78,,08/20/2009
19711,DE,3.78,21000.0,3/5/2009
19968,DE,3.78,,6/8/2011
19966,DE,3.78,31185.0,12/3/2008
19958,DE,3.78,30000.0,11/20/2008
19968,DE,3.78,30051.0,12/3/2008
19966,DE,3.78,30051.0,12/3/2008
19970,DE,3.78,31255.0,08/15/2008
19734,DE,3.78,28700.0,02/26/2010
19970,DE,3.78,23030.0,6/2/2010
19930,DE,3.78,27963.03,6/2/2010
19951,DE,3.78,18432.0,11/8/2010
19971,DE,3.78,39234.3,09/19/2011
19968,DE,3.78,29076.0,12/7/2011
19901,DE,3.78,30051.0,08/28/2009
19963,DE,3.78,30051.0,02/19/2010
19711,DE,3.78,29378.0,02/19/2010
19711,DE,3.78,26832.26,3/2/2010
19971,DE,3.78,30051.0,9/9/2009
19958,DE,3.78,,01/29/2009
19951,DE,3.78,30240.0,08/28/2009
19930,DE,3.78,29295.0,7/7/2009
19958,DE,3.78,,10/24/2008
19970,DE,3.78,29975.0,06/16/2008
19970,DE,3.78,,6/1/2009
19968,DE,3.8,,09/24/2014
19971,DE,3.8,26082.0,10/19/2010
19966,DE,3.8,,2/2/2009
19968,DE,3.8,32040.0,06/16/2009
19966,DE,3.8,,5/12/2009
19709,DE,3.8,,05/17/2011
19971,DE,3.8,,9/9/2011
19958,DE,3.8,,11/9/2011
19971,DE,3.8,58500.0,03/31/2008
19968,DE,3.8,5060.0,11/6/2008
19953,DE,3.8,27358.0,2/11/2009
19805,DE,3.8,15259.0,4/9/2012
19808,DE,3.8,,2/2/2010
19805,DE,3.8,,2/1/2010
19971,DE,3.8,28675.0,3/12/2008
19803,DE,3.81,,9/1/2011
19958,DE,3.83,,05/18/2011
19709,DE,3.83,,12/19/2012
19713,DE,3.84,,10/7/2013
19720,DE,3.84,,08/20/2013
19808,DE,3.84,,2/5/2009
19713,DE,3.84,,4/1/2009
19702,DE,3.85,,04/15/2014
19802,DE,3.85,30000.0,6/2/2010
19958,DE,3.85,30108.0,09/17/2010
19802,DE,3.85,30608.0,07/20/2009
19958,DE,3.85,,12/8/2009
19958,DE,3.87,30000.0,10/2/2008
19711,DE,3.87,10700.0,9/11/2009
19930,DE,3.87,36780.0,3/10/2011
19711,DE,3.87,27670.5,7/9/2010
19930,DE,3.87,29040.0,2/1/2010
19958,DE,3.87,,08/13/2009
19971,DE,3.875,26517.41,10/1/2010
19808,DE,3.89,,09/15/2011
19711,DE,3.9,,3/1/2010
19711,DE,3.9,31927.5,9/1/2008
19711,DE,3.92,,09/24/2014
19808,DE,3.96,,2/4/2011
19803,DE,3.96,26600.0,9/10/2010
19807,DE,3.96,32000.0,10/10/2010
19934,DE,3.96,32000.0,01/26/2009
19807,DE,3.96,25000.0,10/1/2010
19803,DE,3.96,17860.0,09/23/2011
19808,DE,3.96,33000.0,05/28/2010
19971,DE,3.964,7357.0,12/15/2010
19971,DE,3.964,32385.88,10/20/2009
19803,DE,3.976,29674.0,05/18/2009
19806,DE,3.98,,08/16/2013
19803,DE,3.98,,2/11/2015
19709,DE,3.98,10305.0,6/6/2011
19958,DE,4.0,,11/5/2014
19971,DE,4.0,,04/22/2013
19952,DE,4.0,,1/10/2014
19958,DE,4.0,,12/11/2014
19966,DE,4.0,,1/2/2015
19968,DE,4.0,,03/17/2015
19958,DE,4.0,,03/17/2015
19958,DE,4.0,,12/11/2014
19966,DE,4.0,,04/16/2008
19968,DE,4.0,,02/18/2008
19938,DE,4.0,,9/1/2008
19938,DE,4.0,,10/22/2008
19973,DE,4.0,31400.0,10/8/2008
19973,DE,4.0,,9/1/2009
19934,DE,4.0,,8/6/2008
19934,DE,4.0,,5/6/2009
19963,DE,4.0,,8/1/2008
19946,DE,4.0,,6/1/2009
19709,DE,4.0,32000.0,6/1/2009
19711,DE,4.0,,6/1/2007
19711,DE,4.0,,6/1/2009
19904,DE,4.0,,7/1/2007
19711,DE,4.0,,4/1/2008
19808,DE,4.0,26650.0,10/12/2008
19734,DE,4.0,,06/26/2012
19702,DE,4.0,30000.0,1/10/2000
19806,DE,4.0,,8/6/2012
19971,DE,4.0,,12/9/2014
19963,DE,4.0,34000.0,7/2/2008
19938,DE,4.0,33796.0,09/24/2008
19966,DE,4.0,33000.0,1/7/2009
19966,DE,4.0,30051.0,12/3/2008
19958,DE,4.0,30051.0,12/3/2008
19934,DE,4.0,33796.0,3/3/2009
19702,DE,4.0,59542.0,09/18/2002
19971,DE,4.0,18732.0,02/13/2003
19803,DE,4.0,27300.0,07/26/2007
19803,DE,4.0,6400.0,08/20/2007
19971,DE,4.0,12900.0,11/15/2007
19971,DE,4.0,25000.0,02/15/2008
19810,DE,4.0,79151.96,01/30/2008
19953,DE,4.0,39841.2,11/6/2008
19973,DE,4.0,31000.0,2/11/2009
19939,DE,4.0,28848.0,6/12/2009
19970,DE,4.0,26950.0,6/12/2009
19958,DE,4.0,34000.0,03/18/2009
19958,DE,4.0,23800.0,02/19/2010
19709,DE,4.0,32000.0,07/22/2009
19711,DE,4.0,32000.0,07/25/2007
19711,DE,4.0,31856.0,06/18/2008
19711,DE,4.0,30000.0,08/28/2009
19958,DE,4.0,,6/1/2008
19971,DE,4.0,28400.0,10/24/2007
19971,DE,4.0,,12/1/2004
19958,DE,4.0,,01/13/2009
19810,DE,4.0,31896.0,1/7/2008
19803,DE,4.0,32000.0,6/1/2007
19939,DE,4.0,35000.0,11/1/2008
19958,DE,4.0,,7/7/2008
19971,DE,4.0,32000.0,01/24/2008
19901,DE,4.02,,10/1/2009
19973,DE,4.03,,10/8/2009
19970,DE,4.05,,7/1/2011
19709,DE,4.05,,09/26/2011
19968,DE,4.05,,12/2/2011
19970,DE,4.05,26325.0,11/9/2011
19709,DE,4.05,23895.0,10/19/2011
19971,DE,4.06,,1/7/2014
19971,DE,4.06,,01/13/2014
19966,DE,4.07,,10/21/2010
19960,DE,4.07,,12/27/2011
19960,DE,4.07,,12/27/2011
19958,DE,4.07,,12/15/2011
19960,DE,4.07,,1/3/2012
19966,DE,4.07,,1/9/2012
19958,DE,4.07,,2/3/2012
19966,DE,4.07,22385.0,01/26/2011
